# timestamp, x, y, z, qx, qy, qz, qw
0.000000, -2.500000, 4.000000, 0.500000, 0.027962, -0.560641, -0.826559, 0.041225
10000000.000000, -2.500000, 3.980000, 0.492500, 0.030161, -0.562732, -0.824905, 0.044213
20000000.000000, -2.500000, 3.960000, 0.485000, 0.032433, -0.564812, -0.823226, 0.047272
30000000.000000, -2.500000, 3.940000, 0.477500, 0.034781, -0.566881, -0.821520, 0.050404
40000000.000000, -2.500000, 3.920000, 0.470000, 0.037207, -0.568936, -0.819788, 0.053612
50000000.000000, -2.500000, 3.900000, 0.462500, 0.039714, -0.570977, -0.818029, 0.056897
60000000.000000, -2.500000, 3.880000, 0.455000, 0.042305, -0.573001, -0.816240, 0.060264
70000000.000000, -2.500000, 3.860000, 0.447500, 0.044984, -0.575008, -0.814422, 0.063714
80000000.000000, -2.500000, 3.840000, 0.440000, 0.047753, -0.576994, -0.812573, 0.067251
90000000.000000, -2.500000, 3.820000, 0.432500, 0.050617, -0.578959, -0.810692, 0.070877
100000000.000000, -2.500000, 3.800000, 0.425000, 0.053578, -0.580900, -0.808777, 0.074595
110000000.000000, -2.500000, 3.780000, 0.417500, 0.056639, -0.582815, -0.806828, 0.078409
120000000.000000, -2.500000, 3.760000, 0.410000, 0.059806, -0.584701, -0.804842, 0.082322
130000000.000000, -2.500000, 3.740000, 0.402500, 0.063080, -0.586557, -0.802818, 0.086338
140000000.000000, -2.500000, 3.720000, 0.395000, 0.066468, -0.588380, -0.800755, 0.090459
150000000.000000, -2.500000, 3.700000, 0.387500, 0.069972, -0.590165, -0.798650, 0.094690
160000000.000000, -2.500000, 3.680000, 0.380000, 0.073596, -0.591912, -0.796503, 0.099034
170000000.000000, -2.500000, 3.660000, 0.372500, 0.077346, -0.593615, -0.794309, 0.103495
180000000.000000, -2.500000, 3.640000, 0.365000, 0.081224, -0.595273, -0.792069, 0.108077
190000000.000000, -2.500000, 3.620000, 0.357500, 0.085237, -0.596880, -0.789778, 0.112783
